date,site,province,district,predicted_total_visitors,statistical_capacity,vli_score
2026-01-04,Udawalawe National Park,Uva,Monaragala,74,854,8.67
2026-01-04,Wilpattu National Park,North_Western,Puttalam,74,750,9.87
2026-01-04,Yala National Park,Southern,Hambantota,3461,2133,162.26
2026-01-05,Adam's Peak (Sri Pada),Central,Nuwara Eliya,11,341,3.23
2026-01-05,Dambulla Cave Temple,Central,Matale,6,586,1.02
2026-01-05,Galle Fort,Southern,Galle,10,897,1.11
2026-01-05,Horton Plains (World's End),Central,Nuwara Eliya,6,270,2.22
2026-01-05,Jaffna Fort,Northern,Jaffna,6,867,0.69
2026-01-05,Kaudulla National Park,North_Central,Polonnaruwa,4,622,0.64
2026-01-05,Knuckles Conservation Forest,Central,Matale,6,846,0.71
2026-01-05,Mirissa (Whale Watching),Southern,Matara,10,208,4.81
2026-01-05,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,6,434,1.38
2026-01-05,Sigiriya Rock & Museum,Central,Matale,6,2161,0.28
2026-01-05,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,6,192,3.12
2026-01-05,Temple of the Tooth (Kandy),Central,Kandy,6,1398,0.43
2026-01-05,Udawalawe National Park,Uva,Monaragala,6,854,0.7
2026-01-05,Wilpattu National Park,North_Western,Puttalam,6,750,0.8
2026-01-05,Yala National Park,Southern,Hambantota,3426,2133,160.62
2026-01-06,Adam's Peak (Sri Pada),Central,Nuwara Eliya,13,341,3.81
2026-01-06,Dambulla Cave Temple,Central,Matale,7,586,1.19
2026-01-06,Galle Fort,Southern,Galle,12,897,1.34
2026-01-06,Horton Plains (World's End),Central,Nuwara Eliya,7,270,2.59
2026-01-06,Jaffna Fort,Northern,Jaffna,7,867,0.81
2026-01-06,Kaudulla National Park,North_Central,Polonnaruwa,4,622,0.64
2026-01-06,Knuckles Conservation Forest,Central,Matale,7,846,0.83
2026-01-06,Mirissa (Whale Watching),Southern,Matara,12,208,5.77
2026-01-06,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,7,434,1.61
2026-01-06,Sigiriya Rock & Museum,Central,Matale,7,2161,0.32
2026-01-06,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,6,192,3.12
2026-01-06,Temple of the Tooth (Kandy),Central,Kandy,6,1398,0.43
2026-01-06,Udawalawe National Park,Uva,Monaragala,6,854,0.7
2026-01-06,Wilpattu National Park,North_Western,Puttalam,6,750,0.8
2026-01-06,Yala National Park,Southern,Hambantota,3485,2133,163.38
2026-01-07,Adam's Peak (Sri Pada),Central,Nuwara Eliya,13,341,3.81
2026-01-07,Dambulla Cave Temple,Central,Matale,7,586,1.19
2026-01-07,Galle Fort,Southern,Galle,12,897,1.34
2026-01-07,Horton Plains (World's End),Central,Nuwara Eliya,7,270,2.59
2026-01-07,Jaffna Fort,Northern,Jaffna,7,867,0.81
2026-01-07,Kaudulla National Park,North_Central,Polonnaruwa,4,622,0.64
2026-01-07,Knuckles Conservation Forest,Central,Matale,7,846,0.83
2026-01-07,Mirissa (Whale Watching),Southern,Matara,12,208,5.77
2026-01-07,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,7,434,1.61
2026-01-07,Sigiriya Rock & Museum,Central,Matale,7,2161,0.32
2026-01-07,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,6,192,3.12
2026-01-07,Temple of the Tooth (Kandy),Central,Kandy,6,1398,0.43
2026-01-07,Udawalawe National Park,Uva,Monaragala,6,854,0.7
2026-01-07,Wilpattu National Park,North_Western,Puttalam,6,750,0.8
2026-01-07,Yala National Park,Southern,Hambantota,3582,2133,167.93
2026-01-08,Adam's Peak (Sri Pada),Central,Nuwara Eliya,33,341,9.68
2026-01-08,Dambulla Cave Temple,Central,Matale,13,586,2.22
2026-01-08,Galle Fort,Southern,Galle,33,897,3.68
2026-01-08,Horton Plains (World's End),Central,Nuwara Eliya,13,270,4.81
2026-01-08,Jaffna Fort,Northern,Jaffna,13,867,1.5
2026-01-08,Kaudulla National Park,North_Central,Polonnaruwa,6,622,0.96
2026-01-08,Knuckles Conservation Forest,Central,Matale,13,846,1.54
2026-01-08,Mirissa (Whale Watching),Southern,Matara,32,208,15.38
2026-01-08,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,13,434,3.0
2026-01-08,Sigiriya Rock & Museum,Central,Matale,13,2161,0.6
2026-01-08,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,13,192,6.77
2026-01-08,Temple of the Tooth (Kandy),Central,Kandy,13,1398,0.93
2026-01-08,Udawalawe National Park,Uva,Monaragala,13,854,1.52
2026-01-08,Wilpattu National Park,North_Western,Puttalam,13,750,1.73
2026-01-08,Yala National Park,Southern,Hambantota,3692,2133,173.09
2026-01-09,Adam's Peak (Sri Pada),Central,Nuwara Eliya,34,341,9.97
2026-01-09,Dambulla Cave Temple,Central,Matale,14,586,2.39
2026-01-09,Galle Fort,Southern,Galle,34,897,3.79
2026-01-09,Horton Plains (World's End),Central,Nuwara Eliya,13,270,4.81
2026-01-09,Jaffna Fort,Northern,Jaffna,13,867,1.5
2026-01-09,Kaudulla National Park,North_Central,Polonnaruwa,6,622,0.96
2026-01-09,Knuckles Conservation Forest,Central,Matale,13,846,1.54
2026-01-09,Mirissa (Whale Watching),Southern,Matara,33,208,15.87
2026-01-09,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,13,434,3.0
2026-01-09,Sigiriya Rock & Museum,Central,Matale,13,2161,0.6
2026-01-09,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,13,192,6.77
2026-01-09,Temple of the Tooth (Kandy),Central,Kandy,13,1398,0.93
2026-01-09,Udawalawe National Park,Uva,Monaragala,13,854,1.52
2026-01-09,Wilpattu National Park,North_Western,Puttalam,13,750,1.73
2026-01-09,Yala National Park,Southern,Hambantota,3763,2133,176.42
2026-01-10,Adam's Peak (Sri Pada),Central,Nuwara Eliya,167,341,48.97
2026-01-10,Dambulla Cave Temple,Central,Matale,85,586,14.51
2026-01-10,Galle Fort,Southern,Galle,166,897,18.51
2026-01-10,Horton Plains (World's End),Central,Nuwara Eliya,84,270,31.11
2026-01-10,Jaffna Fort,Northern,Jaffna,84,867,9.69
2026-01-10,Kaudulla National Park,North_Central,Polonnaruwa,48,622,7.72
2026-01-10,Knuckles Conservation Forest,Central,Matale,84,846,9.93
2026-01-10,Mirissa (Whale Watching),Southern,Matara,165,208,79.33
2026-01-10,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,84,434,19.35
2026-01-10,Sigiriya Rock & Museum,Central,Matale,84,2161,3.89
2026-01-10,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,84,192,43.75
2026-01-10,Temple of the Tooth (Kandy),Central,Kandy,84,1398,6.01
2026-01-10,Udawalawe National Park,Uva,Monaragala,84,854,9.84
2026-01-10,Wilpattu National Park,North_Western,Puttalam,84,750,11.2
2026-01-10,Yala National Park,Southern,Hambantota,3958,2133,185.56
2026-01-11,Adam's Peak (Sri Pada),Central,Nuwara Eliya,166,341,48.68
2026-01-11,Dambulla Cave Temple,Central,Matale,84,586,14.33
2026-01-11,Galle Fort,Southern,Galle,166,897,18.51
2026-01-11,Horton Plains (World's End),Central,Nuwara Eliya,84,270,31.11
2026-01-11,Jaffna Fort,Northern,Jaffna,84,867,9.69
2026-01-11,Kaudulla National Park,North_Central,Polonnaruwa,48,622,7.72
2026-01-11,Knuckles Conservation Forest,Central,Matale,84,846,9.93
2026-01-11,Mirissa (Whale Watching),Southern,Matara,165,208,79.33
2026-01-11,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,84,434,19.35
2026-01-11,Sigiriya Rock & Museum,Central,Matale,84,2161,3.89
2026-01-11,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,83,192,43.23
2026-01-11,Temple of the Tooth (Kandy),Central,Kandy,83,1398,5.94
2026-01-11,Udawalawe National Park,Uva,Monaragala,83,854,9.72
2026-01-11,Wilpattu National Park,North_Western,Puttalam,83,750,11.07
2026-01-11,Yala National Park,Southern,Hambantota,4048,2133,189.78
2026-01-12,Adam's Peak (Sri Pada),Central,Nuwara Eliya,37,341,10.85
2026-01-12,Dambulla Cave Temple,Central,Matale,14,586,2.39
2026-01-12,Galle Fort,Southern,Galle,37,897,4.12
2026-01-12,Horton Plains (World's End),Central,Nuwara Eliya,14,270,5.19
2026-01-12,Jaffna Fort,Northern,Jaffna,14,867,1.61
2026-01-12,Kaudulla National Park,North_Central,Polonnaruwa,6,622,0.96
2026-01-12,Knuckles Conservation Forest,Central,Matale,13,846,1.54
2026-01-12,Mirissa (Whale Watching),Southern,Matara,36,208,17.31
2026-01-12,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,13,434,3.0
2026-01-12,Sigiriya Rock & Museum,Central,Matale,13,2161,0.6
2026-01-12,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,13,192,6.77
2026-01-12,Temple of the Tooth (Kandy),Central,Kandy,13,1398,0.93
2026-01-12,Udawalawe National Park,Uva,Monaragala,13,854,1.52
2026-01-12,Wilpattu National Park,North_Western,Puttalam,13,750,1.73
2026-01-12,Yala National Park,Southern,Hambantota,4035,2133,189.17
2026-01-13,Adam's Peak (Sri Pada),Central,Nuwara Eliya,41,341,12.02
2026-01-13,Dambulla Cave Temple,Central,Matale,15,586,2.56
2026-01-13,Galle Fort,Southern,Galle,41,897,4.57
2026-01-13,Horton Plains (World's End),Central,Nuwara Eliya,15,270,5.56
2026-01-13,Jaffna Fort,Northern,Jaffna,14,867,1.61
2026-01-13,Kaudulla National Park,North_Central,Polonnaruwa,7,622,1.13
2026-01-13,Knuckles Conservation Forest,Central,Matale,14,846,1.65
2026-01-13,Mirissa (Whale Watching),Southern,Matara,40,208,19.23
2026-01-13,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,14,434,3.23
2026-01-13,Sigiriya Rock & Museum,Central,Matale,14,2161,0.65
2026-01-13,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,14,192,7.29
2026-01-13,Temple of the Tooth (Kandy),Central,Kandy,14,1398,1.0
2026-01-13,Udawalawe National Park,Uva,Monaragala,14,854,1.64
2026-01-13,Wilpattu National Park,North_Western,Puttalam,14,750,1.87
2026-01-13,Yala National Park,Southern,Hambantota,4120,2133,193.16
2026-01-14,Adam's Peak (Sri Pada),Central,Nuwara Eliya,43,341,12.61
2026-01-14,Dambulla Cave Temple,Central,Matale,15,586,2.56
2026-01-14,Galle Fort,Southern,Galle,42,897,4.68
2026-01-14,Horton Plains (World's End),Central,Nuwara Eliya,15,270,5.56
2026-01-14,Jaffna Fort,Northern,Jaffna,15,867,1.73
2026-01-14,Kaudulla National Park,North_Central,Polonnaruwa,7,622,1.13
2026-01-14,Knuckles Conservation Forest,Central,Matale,15,846,1.77
2026-01-14,Mirissa (Whale Watching),Southern,Matara,41,208,19.71
2026-01-14,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,14,434,3.23
2026-01-14,Sigiriya Rock & Museum,Central,Matale,14,2161,0.65
2026-01-14,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,14,192,7.29
2026-01-14,Temple of the Tooth (Kandy),Central,Kandy,14,1398,1.0
2026-01-14,Udawalawe National Park,Uva,Monaragala,14,854,1.64
2026-01-14,Wilpattu National Park,North_Western,Puttalam,14,750,1.87
2026-01-14,Yala National Park,Southern,Hambantota,4230,2133,198.31
2026-01-15,Adam's Peak (Sri Pada),Central,Nuwara Eliya,69,341,20.23
2026-01-15,Dambulla Cave Temple,Central,Matale,23,586,3.92
2026-01-15,Galle Fort,Southern,Galle,68,897,7.58
2026-01-15,Horton Plains (World's End),Central,Nuwara Eliya,23,270,8.52
2026-01-15,Jaffna Fort,Northern,Jaffna,23,867,2.65
2026-01-15,Kaudulla National Park,North_Central,Polonnaruwa,10,622,1.61
2026-01-15,Knuckles Conservation Forest,Central,Matale,23,846,2.72
2026-01-15,Mirissa (Whale Watching),Southern,Matara,67,208,32.21
2026-01-15,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,22,434,5.07
2026-01-15,Sigiriya Rock & Museum,Central,Matale,22,2161,1.02
2026-01-15,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,22,192,11.46
2026-01-15,Temple of the Tooth (Kandy),Central,Kandy,22,1398,1.57
2026-01-15,Udawalawe National Park,Uva,Monaragala,22,854,2.58
2026-01-15,Wilpattu National Park,North_Western,Puttalam,22,750,2.93
2026-01-15,Yala National Park,Southern,Hambantota,5126,2133,240.32
2026-01-16,Adam's Peak (Sri Pada),Central,Nuwara Eliya,48,341,14.08
2026-01-16,Dambulla Cave Temple,Central,Matale,16,586,2.73
2026-01-16,Galle Fort,Southern,Galle,47,897,5.24
2026-01-16,Horton Plains (World's End),Central,Nuwara Eliya,16,270,5.93
2026-01-16,Jaffna Fort,Northern,Jaffna,15,867,1.73
2026-01-16,Kaudulla National Park,North_Central,Polonnaruwa,7,622,1.13
2026-01-16,Knuckles Conservation Forest,Central,Matale,15,846,1.77
2026-01-16,Mirissa (Whale Watching),Southern,Matara,46,208,22.12
2026-01-16,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,15,434,3.46
2026-01-16,Sigiriya Rock & Museum,Central,Matale,15,2161,0.69
2026-01-16,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,15,192,7.81
2026-01-16,Temple of the Tooth (Kandy),Central,Kandy,15,1398,1.07
2026-01-16,Udawalawe National Park,Uva,Monaragala,15,854,1.76
2026-01-16,Wilpattu National Park,North_Western,Puttalam,15,750,2.0
2026-01-16,Yala National Park,Southern,Hambantota,4470,2133,209.56
2026-01-17,Adam's Peak (Sri Pada),Central,Nuwara Eliya,180,341,52.79
2026-01-17,Dambulla Cave Temple,Central,Matale,87,586,14.85
2026-01-17,Galle Fort,Southern,Galle,180,897,20.07
2026-01-17,Horton Plains (World's End),Central,Nuwara Eliya,87,270,32.22
2026-01-17,Jaffna Fort,Northern,Jaffna,86,867,9.92
2026-01-17,Kaudulla National Park,North_Central,Polonnaruwa,49,622,7.88
2026-01-17,Knuckles Conservation Forest,Central,Matale,86,846,10.17
2026-01-17,Mirissa (Whale Watching),Southern,Matara,179,208,86.06
2026-01-17,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,86,434,19.82
2026-01-17,Sigiriya Rock & Museum,Central,Matale,86,2161,3.98
2026-01-17,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,86,192,44.79
2026-01-17,Temple of the Tooth (Kandy),Central,Kandy,86,1398,6.15
2026-01-17,Udawalawe National Park,Uva,Monaragala,86,854,10.07
2026-01-17,Wilpattu National Park,North_Western,Puttalam,86,750,11.47
2026-01-17,Yala National Park,Southern,Hambantota,4699,2133,220.3
2026-01-18,Adam's Peak (Sri Pada),Central,Nuwara Eliya,179,341,52.49
2026-01-18,Dambulla Cave Temple,Central,Matale,86,586,14.68
2026-01-18,Galle Fort,Southern,Galle,179,897,19.96
2026-01-18,Horton Plains (World's End),Central,Nuwara Eliya,86,270,31.85
2026-01-18,Jaffna Fort,Northern,Jaffna,86,867,9.92
2026-01-18,Kaudulla National Park,North_Central,Polonnaruwa,48,622,7.72
2026-01-18,Knuckles Conservation Forest,Central,Matale,86,846,10.17
2026-01-18,Mirissa (Whale Watching),Southern,Matara,178,208,85.58
2026-01-18,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,86,434,19.82
2026-01-18,Sigiriya Rock & Museum,Central,Matale,85,2161,3.93
2026-01-18,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,85,192,44.27
2026-01-18,Temple of the Tooth (Kandy),Central,Kandy,85,1398,6.08
2026-01-18,Udawalawe National Park,Uva,Monaragala,85,854,9.95
2026-01-18,Wilpattu National Park,North_Western,Puttalam,85,750,11.33
2026-01-18,Yala National Park,Southern,Hambantota,4814,2133,225.69
2026-01-19,Adam's Peak (Sri Pada),Central,Nuwara Eliya,48,341,14.08
2026-01-19,Dambulla Cave Temple,Central,Matale,15,586,2.56
2026-01-19,Galle Fort,Southern,Galle,48,897,5.35
2026-01-19,Horton Plains (World's End),Central,Nuwara Eliya,15,270,5.56
2026-01-19,Jaffna Fort,Northern,Jaffna,15,867,1.73
2026-01-19,Kaudulla National Park,North_Central,Polonnaruwa,7,622,1.13
2026-01-19,Knuckles Conservation Forest,Central,Matale,15,846,1.77
2026-01-19,Mirissa (Whale Watching),Southern,Matara,47,208,22.6
2026-01-19,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,15,434,3.46
2026-01-19,Sigiriya Rock & Museum,Central,Matale,15,2161,0.69
2026-01-19,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,15,192,7.81
2026-01-19,Temple of the Tooth (Kandy),Central,Kandy,14,1398,1.0
2026-01-19,Udawalawe National Park,Uva,Monaragala,14,854,1.64
2026-01-19,Wilpattu National Park,North_Western,Puttalam,14,750,1.87
2026-01-19,Yala National Park,Southern,Hambantota,4825,2133,226.21
2026-01-20,Adam's Peak (Sri Pada),Central,Nuwara Eliya,52,341,15.25
2026-01-20,Dambulla Cave Temple,Central,Matale,16,586,2.73
2026-01-20,Galle Fort,Southern,Galle,51,897,5.69
2026-01-20,Horton Plains (World's End),Central,Nuwara Eliya,16,270,5.93
2026-01-20,Jaffna Fort,Northern,Jaffna,16,867,1.85
2026-01-20,Kaudulla National Park,North_Central,Polonnaruwa,7,622,1.13
2026-01-20,Knuckles Conservation Forest,Central,Matale,16,846,1.89
2026-01-20,Mirissa (Whale Watching),Southern,Matara,50,208,24.04
2026-01-20,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,15,434,3.46
2026-01-20,Sigiriya Rock & Museum,Central,Matale,15,2161,0.69
2026-01-20,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,15,192,7.81
2026-01-20,Temple of the Tooth (Kandy),Central,Kandy,15,1398,1.07
2026-01-20,Udawalawe National Park,Uva,Monaragala,15,854,1.76
2026-01-20,Wilpattu National Park,North_Western,Puttalam,15,750,2.0
2026-01-20,Yala National Park,Southern,Hambantota,4937,2133,231.46
2026-01-21,Adam's Peak (Sri Pada),Central,Nuwara Eliya,52,341,15.25
2026-01-21,Dambulla Cave Temple,Central,Matale,16,586,2.73
2026-01-21,Galle Fort,Southern,Galle,52,897,5.8
2026-01-21,Horton Plains (World's End),Central,Nuwara Eliya,16,270,5.93
2026-01-21,Jaffna Fort,Northern,Jaffna,16,867,1.85
2026-01-21,Kaudulla National Park,North_Central,Polonnaruwa,7,622,1.13
2026-01-21,Knuckles Conservation Forest,Central,Matale,16,846,1.89
2026-01-21,Mirissa (Whale Watching),Southern,Matara,51,208,24.52
2026-01-21,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,16,434,3.69
2026-01-21,Sigiriya Rock & Museum,Central,Matale,15,2161,0.69
2026-01-21,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,15,192,7.81
2026-01-21,Temple of the Tooth (Kandy),Central,Kandy,15,1398,1.07
2026-01-21,Udawalawe National Park,Uva,Monaragala,15,854,1.76
2026-01-21,Wilpattu National Park,North_Western,Puttalam,15,750,2.0
2026-01-21,Yala National Park,Southern,Hambantota,5075,2133,237.93
2026-01-22,Adam's Peak (Sri Pada),Central,Nuwara Eliya,55,341,16.13
2026-01-22,Dambulla Cave Temple,Central,Matale,16,586,2.73
2026-01-22,Galle Fort,Southern,Galle,54,897,6.02
2026-01-22,Horton Plains (World's End),Central,Nuwara Eliya,16,270,5.93
2026-01-22,Jaffna Fort,Northern,Jaffna,16,867,1.85
2026-01-22,Kaudulla National Park,North_Central,Polonnaruwa,7,622,1.13
2026-01-22,Knuckles Conservation Forest,Central,Matale,16,846,1.89
2026-01-22,Mirissa (Whale Watching),Southern,Matara,53,208,25.48
2026-01-22,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,16,434,3.69
2026-01-22,Sigiriya Rock & Museum,Central,Matale,16,2161,0.74
2026-01-22,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,16,192,8.33
2026-01-22,Temple of the Tooth (Kandy),Central,Kandy,16,1398,1.14
2026-01-22,Udawalawe National Park,Uva,Monaragala,16,854,1.87
2026-01-22,Wilpattu National Park,North_Western,Puttalam,15,750,2.0
2026-01-22,Yala National Park,Southern,Hambantota,5124,2133,240.23
2026-01-23,Adam's Peak (Sri Pada),Central,Nuwara Eliya,52,341,15.25
2026-01-23,Dambulla Cave Temple,Central,Matale,16,586,2.73
2026-01-23,Galle Fort,Southern,Galle,52,897,5.8
2026-01-23,Horton Plains (World's End),Central,Nuwara Eliya,16,270,5.93
2026-01-23,Jaffna Fort,Northern,Jaffna,16,867,1.85
2026-01-23,Kaudulla National Park,North_Central,Polonnaruwa,7,622,1.13
2026-01-23,Knuckles Conservation Forest,Central,Matale,16,846,1.89
2026-01-23,Mirissa (Whale Watching),Southern,Matara,51,208,24.52
2026-01-23,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,15,434,3.46
2026-01-23,Sigiriya Rock & Museum,Central,Matale,15,2161,0.69
2026-01-23,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,15,192,7.81
2026-01-23,Temple of the Tooth (Kandy),Central,Kandy,15,1398,1.07
2026-01-23,Udawalawe National Park,Uva,Monaragala,15,854,1.76
2026-01-23,Wilpattu National Park,North_Western,Puttalam,15,750,2.0
2026-01-23,Yala National Park,Southern,Hambantota,5125,2133,240.27
2026-01-24,Adam's Peak (Sri Pada),Central,Nuwara Eliya,184,341,53.96
2026-01-24,Dambulla Cave Temple,Central,Matale,87,586,14.85
2026-01-24,Galle Fort,Southern,Galle,184,897,20.51
2026-01-24,Horton Plains (World's End),Central,Nuwara Eliya,87,270,32.22
2026-01-24,Jaffna Fort,Northern,Jaffna,87,867,10.03
2026-01-24,Kaudulla National Park,North_Central,Polonnaruwa,49,622,7.88
2026-01-24,Knuckles Conservation Forest,Central,Matale,86,846,10.17
2026-01-24,Mirissa (Whale Watching),Southern,Matara,183,208,87.98
2026-01-24,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,86,434,19.82
2026-01-24,Sigiriya Rock & Museum,Central,Matale,86,2161,3.98
2026-01-24,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,86,192,44.79
2026-01-24,Temple of the Tooth (Kandy),Central,Kandy,86,1398,6.15
2026-01-24,Udawalawe National Park,Uva,Monaragala,86,854,10.07
2026-01-24,Wilpattu National Park,North_Western,Puttalam,86,750,11.47
2026-01-24,Yala National Park,Southern,Hambantota,5125,2133,240.27
2026-01-25,Adam's Peak (Sri Pada),Central,Nuwara Eliya,182,341,53.37
2026-01-25,Dambulla Cave Temple,Central,Matale,86,586,14.68
2026-01-25,Galle Fort,Southern,Galle,182,897,20.29
2026-01-25,Horton Plains (World's End),Central,Nuwara Eliya,86,270,31.85
2026-01-25,Jaffna Fort,Northern,Jaffna,86,867,9.92
2026-01-25,Kaudulla National Park,North_Central,Polonnaruwa,48,622,7.72
2026-01-25,Knuckles Conservation Forest,Central,Matale,86,846,10.17
